Question;Category;Exercise_Category
Was ist Git und was ist der unterschied zu GitLab?;z;Übungen 1 - 3
Wie verwende ich default Werte in einer Funktion? Was sind sie?;a;Übungen 1 - 3
Wann verwendet man Kommentare im script?;a;Übungen 1 - 3
Wie schreibt man Exponenten in Python?;a;Übungen 1 - 3
Welche Möglichkeiten gibt es im Code Bedingungen zu definieren, welcher Zweig überhaupt bzw. wie oft ausgeführt wird?;c;Übungen 4 - 6
Wie schaut die Syntax bei if aus? Was gibt es neben if noch für keywords? Welcher Teil wird ausgeführt?;z;Übungen 4 - 6
Unterschied for- und while-loop? Wann verwendet man was? Kann man sie ineinander umschreiben? Erläutere es an kurzen Beispielen.;z;Übungen 4 - 6
Was machen break und continue?;a;Übungen 4 - 6
Unterschiedliche Datentypen - Unterschied int vs. float, list vs. tuple, np.float vs np.float64 etc.;z;Übungen 4 - 6
Was macht man mit dem Befehl assert? Was passiert wenn in einem Programm ein Fehler auftritt?;a;Übungen 4 - 6
Welche Möglichkeiten der Fehlerbehandlung gibt es?;z;Übungen 4 - 6
Wofür sind default-Werte bei Funktionsparametern sinnvoll?;a;Übungen 4 - 6
Wie kann man sich helfen wenn man Funktionsnamen nicht weiß? Frage nach Funktionsweise einer zu einer noch unbekannten Funktion anhand der Hilfe.;z;Übungen 4 - 6
Erläutere das Konzept der Logischen Indizierung und stelle einen Vergleich mit normaler Indizierung her.;c;Übungen 4 - 6
"Was ist die Rolle von Doppelpunkt "":"" und Index ""-1"" bei der Indizierung?";a;Übungen 4 - 6
Was ist der Unterschied zwischen der Indizierung eines Feldes M mit M[2,3,4] und M[[2,3,4]]? Was ist der Unterschied zwischen M[2:4] und M[[2:4]]?;z;Übungen 4 - 6
"Was muss man bei der Verwendung von Befehlen wie sum, cumsum, prod, ... beachten wenn man sie auf Vektoren oder mehrdimensionale Arrays anwendet? Was versteht man bei arrays unter ""contiguous""?";a;Übungen 4 - 6
Wie kann man in einem beliebigen Feld alle Elemente die nicht durch 3 teilbar sind durch Not A Number ersetzen? Wie kann man alle Elemente die durch 3 teilbar sind der Größe nach sortiert ausgeben und in welcher Form erhält man das Ergebnis?;b;Übungen 4 - 6
Wie erzeugt man ein logisches Feld L das gleich groß ist wie ein Feld A ist und lauter Werte enthält die logisch wahr (bzw. falsch) sind?;a;Übungen 4 - 6
Welche logischen Operatoren gibt es? Für welchen Logik-Befehl gibt es keinen Operator?;a;Übungen 4 - 6
Wozu benötigt man den Befehl meshgrid? Per Hand am Beispiel zweier Vektoren mit 2 und 3 Komponenten.;b;Übungen 4 - 6
Wie wird ein Polynom in numpy definiert und wie multipliziert man zwei Polynome miteinander?;a;Übungen 4 - 6
Wie wertet man die Polynomfunktion an einer bestimmten Stelle aus? (Sowohl per Hand als auch mit numpy);a;Übungen 4 - 6
Wenn man mit dem Befehl p2 = polyder(p1) berechnet und danach mit dem Befehl p3 = polyint(p2), ist dann p1 und p3 immer identisch und liefere eine Begründung für deine Antwort?;a;ab Übung 7
Wenn man mit dem Befehl r1= roots(p1) die Nullstellen eines Polynoms berechnet und danach wieder mit p2 = poly(r1), ist dann p1 und p2 immer identisch und liefere eine Begründung für deine Antwort?;a;ab Übung 7
Was sind Plot-Objekte und wie kann man mit deren Hilfe Informationen über Graphikelemente erhalten oder deren Eigenschaften verändern?;b;ab Übung 7
Wie kann man in Python Animationen erstellen? Skizzieren Sie schematisch was man sinnvoll tun kann.;b;ab Übung 7
